carrera,semestre,nombre,codigo,prerrequisito
Ingenieria Sistemas,1,Materia 1.1 de Ingenieria Sistemas,ING-11,
Ingenieria Sistemas,1,Materia 1.2 de Ingenieria Sistemas,ING-12,
Ingenieria Sistemas,1,Materia 1.3 de Ingenieria Sistemas,ING-13,
Ingenieria Sistemas,1,Materia 1.4 de Ingenieria Sistemas,ING-14,
Ingenieria Sistemas,1,Materia 1.5 de Ingenieria Sistemas,ING-15,
Ingenieria Sistemas,1,Materia 1.6 de Ingenieria Sistemas,ING-16,
Ingenieria Sistemas,1,Materia 1.7 de Ingenieria Sistemas,ING-17,
Ingenieria Sistemas,2,Materia 2.1 de Ingenieria Sistemas,ING-21,ING-11
Ingenieria Sistemas,2,Materia 2.2 de Ingenieria Sistemas,ING-22,ING-12
Ingenieria Sistemas,2,Materia 2.3 de Ingenieria Sistemas,ING-23,ING-13
Ingenieria Sistemas,2,Materia 2.4 de Ingenieria Sistemas,ING-24,ING-14
Ingenieria Sistemas,2,Materia 2.5 de Ingenieria Sistemas,ING-25,ING-15
Ingenieria Sistemas,2,Materia 2.6 de Ingenieria Sistemas,ING-26,ING-16
Ingenieria Sistemas,2,Materia 2.7 de Ingenieria Sistemas,ING-27,ING-17
Ingenieria Sistemas,3,Materia 3.1 de Ingenieria Sistemas,ING-31,ING-21
Ingenieria Sistemas,3,Materia 3.2 de Ingenieria Sistemas,ING-32,ING-22
Ingenieria Sistemas,3,Materia 3.3 de Ingenieria Sistemas,ING-33,ING-23
Ingenieria Sistemas,3,Materia 3.4 de Ingenieria Sistemas,ING-34,ING-24
Ingenieria Sistemas,3,Materia 3.5 de Ingenieria Sistemas,ING-35,ING-25
Ingenieria Sistemas,3,Materia 3.6 de Ingenieria Sistemas,ING-36,ING-26
Ingenieria Sistemas,3,Materia 3.7 de Ingenieria Sistemas,ING-37,ING-27
Ingenieria Sistemas,4,Materia 4.1 de Ingenieria Sistemas,ING-41,ING-31
Ingenieria Sistemas,4,Materia 4.2 de Ingenieria Sistemas,ING-42,ING-32
Ingenieria Sistemas,4,Materia 4.3 de Ingenieria Sistemas,ING-43,ING-33
Ingenieria Sistemas,4,Materia 4.4 de Ingenieria Sistemas,ING-44,ING-34
Ingenieria Sistemas,4,Materia 4.5 de Ingenieria Sistemas,ING-45,ING-35
Ingenieria Sistemas,4,Materia 4.6 de Ingenieria Sistemas,ING-46,ING-36
Ingenieria Sistemas,4,Materia 4.7 de Ingenieria Sistemas,ING-47,ING-37
Ingenieria Sistemas,5,Materia 5.1 de Ingenieria Sistemas,ING-51,ING-41
Ingenieria Sistemas,5,Materia 5.2 de Ingenieria Sistemas,ING-52,ING-42
Ingenieria Sistemas,5,Materia 5.3 de Ingenieria Sistemas,ING-53,ING-43
Ingenieria Sistemas,5,Materia 5.4 de Ingenieria Sistemas,ING-54,ING-44
Ingenieria Sistemas,5,Materia 5.5 de Ingenieria Sistemas,ING-55,ING-45
Ingenieria Sistemas,5,Materia 5.6 de Ingenieria Sistemas,ING-56,ING-46
Ingenieria Sistemas,5,Materia 5.7 de Ingenieria Sistemas,ING-57,ING-47
Ingenieria Sistemas,6,Materia 6.1 de Ingenieria Sistemas,ING-61,ING-51
Ingenieria Sistemas,6,Materia 6.2 de Ingenieria Sistemas,ING-62,ING-52
Ingenieria Sistemas,6,Materia 6.3 de Ingenieria Sistemas,ING-63,ING-53
Ingenieria Sistemas,6,Materia 6.4 de Ingenieria Sistemas,ING-64,ING-54
Ingenieria Sistemas,6,Materia 6.5 de Ingenieria Sistemas,ING-65,ING-55
Ingenieria Sistemas,6,Materia 6.6 de Ingenieria Sistemas,ING-66,ING-56
Ingenieria Sistemas,6,Materia 6.7 de Ingenieria Sistemas,ING-67,ING-57
Ingenieria Sistemas,7,Materia 7.1 de Ingenieria Sistemas,ING-71,ING-61
Ingenieria Sistemas,7,Materia 7.2 de Ingenieria Sistemas,ING-72,ING-62
Ingenieria Sistemas,7,Materia 7.3 de Ingenieria Sistemas,ING-73,ING-63
Ingenieria Sistemas,7,Materia 7.4 de Ingenieria Sistemas,ING-74,ING-64
Ingenieria Sistemas,7,Materia 7.5 de Ingenieria Sistemas,ING-75,ING-65
Ingenieria Sistemas,7,Materia 7.6 de Ingenieria Sistemas,ING-76,ING-66
Ingenieria Sistemas,7,Materia 7.7 de Ingenieria Sistemas,ING-77,ING-67
Ingenieria Sistemas,8,Materia 8.1 de Ingenieria Sistemas,ING-81,ING-71
Ingenieria Sistemas,8,Materia 8.2 de Ingenieria Sistemas,ING-82,ING-72
Ingenieria Sistemas,8,Materia 8.3 de Ingenieria Sistemas,ING-83,ING-73
Ingenieria Sistemas,8,Materia 8.4 de Ingenieria Sistemas,ING-84,ING-74
Ingenieria Sistemas,8,Materia 8.5 de Ingenieria Sistemas,ING-85,ING-75
Ingenieria Sistemas,8,Materia 8.6 de Ingenieria Sistemas,ING-86,ING-76
Ingenieria Sistemas,8,Materia 8.7 de Ingenieria Sistemas,ING-87,ING-77
Ingenieria Sistemas,9,Materia 9.1 de Ingenieria Sistemas,ING-91,ING-81
Ingenieria Sistemas,9,Materia 9.2 de Ingenieria Sistemas,ING-92,ING-82
Ingenieria Sistemas,9,Materia 9.3 de Ingenieria Sistemas,ING-93,ING-83
Ingenieria Sistemas,9,Materia 9.4 de Ingenieria Sistemas,ING-94,ING-84
Ingenieria Sistemas,9,Materia 9.5 de Ingenieria Sistemas,ING-95,ING-85
Ingenieria Sistemas,9,Materia 9.6 de Ingenieria Sistemas,ING-96,ING-86
Ingenieria Sistemas,9,Materia 9.7 de Ingenieria Sistemas,ING-97,ING-87
Ingenieria Sistemas,10,Materia 10.1 de Ingenieria Sistemas,ING-101,ING-91
Ingenieria Sistemas,10,Materia 10.2 de Ingenieria Sistemas,ING-102,ING-92
Ingenieria Sistemas,10,Materia 10.3 de Ingenieria Sistemas,ING-103,ING-93
Ingenieria Sistemas,10,Materia 10.4 de Ingenieria Sistemas,ING-104,ING-94
Ingenieria Sistemas,10,Materia 10.5 de Ingenieria Sistemas,ING-105,ING-95
Ingenieria Sistemas,10,Materia 10.6 de Ingenieria Sistemas,ING-106,ING-96
Ingenieria Sistemas,10,Materia 10.7 de Ingenieria Sistemas,ING-107,ING-97
Derecho,1,Materia 1.1 de Derecho,DER-11,
Derecho,1,Materia 1.2 de Derecho,DER-12,
Derecho,1,Materia 1.3 de Derecho,DER-13,
Derecho,1,Materia 1.4 de Derecho,DER-14,
Derecho,1,Materia 1.5 de Derecho,DER-15,
Derecho,1,Materia 1.6 de Derecho,DER-16,
Derecho,1,Materia 1.7 de Derecho,DER-17,
Derecho,2,Materia 2.1 de Derecho,DER-21,DER-11
Derecho,2,Materia 2.2 de Derecho,DER-22,DER-12
Derecho,2,Materia 2.3 de Derecho,DER-23,DER-13
Derecho,2,Materia 2.4 de Derecho,DER-24,DER-14
Derecho,2,Materia 2.5 de Derecho,DER-25,DER-15
Derecho,2,Materia 2.6 de Derecho,DER-26,DER-16
Derecho,2,Materia 2.7 de Derecho,DER-27,DER-17
Derecho,3,Materia 3.1 de Derecho,DER-31,DER-21
Derecho,3,Materia 3.2 de Derecho,DER-32,DER-22
Derecho,3,Materia 3.3 de Derecho,DER-33,DER-23
Derecho,3,Materia 3.4 de Derecho,DER-34,DER-24
Derecho,3,Materia 3.5 de Derecho,DER-35,DER-25
Derecho,3,Materia 3.6 de Derecho,DER-36,DER-26
Derecho,3,Materia 3.7 de Derecho,DER-37,DER-27
Derecho,4,Materia 4.1 de Derecho,DER-41,DER-31
Derecho,4,Materia 4.2 de Derecho,DER-42,DER-32
Derecho,4,Materia 4.3 de Derecho,DER-43,DER-33
Derecho,4,Materia 4.4 de Derecho,DER-44,DER-34
Derecho,4,Materia 4.5 de Derecho,DER-45,DER-35
Derecho,4,Materia 4.6 de Derecho,DER-46,DER-36
Derecho,4,Materia 4.7 de Derecho,DER-47,DER-37
Derecho,5,Materia 5.1 de Derecho,DER-51,DER-41
Derecho,5,Materia 5.2 de Derecho,DER-52,DER-42
Derecho,5,Materia 5.3 de Derecho,DER-53,DER-43
Derecho,5,Materia 5.4 de Derecho,DER-54,DER-44
Derecho,5,Materia 5.5 de Derecho,DER-55,DER-45
Derecho,5,Materia 5.6 de Derecho,DER-56,DER-46
Derecho,5,Materia 5.7 de Derecho,DER-57,DER-47
Derecho,6,Materia 6.1 de Derecho,DER-61,DER-51
Derecho,6,Materia 6.2 de Derecho,DER-62,DER-52
Derecho,6,Materia 6.3 de Derecho,DER-63,DER-53
Derecho,6,Materia 6.4 de Derecho,DER-64,DER-54
Derecho,6,Materia 6.5 de Derecho,DER-65,DER-55
Derecho,6,Materia 6.6 de Derecho,DER-66,DER-56
Derecho,6,Materia 6.7 de Derecho,DER-67,DER-57
Derecho,7,Materia 7.1 de Derecho,DER-71,DER-61
Derecho,7,Materia 7.2 de Derecho,DER-72,DER-62
Derecho,7,Materia 7.3 de Derecho,DER-73,DER-63
Derecho,7,Materia 7.4 de Derecho,DER-74,DER-64
Derecho,7,Materia 7.5 de Derecho,DER-75,DER-65
Derecho,7,Materia 7.6 de Derecho,DER-76,DER-66
Derecho,7,Materia 7.7 de Derecho,DER-77,DER-67
Derecho,8,Materia 8.1 de Derecho,DER-81,DER-71
Derecho,8,Materia 8.2 de Derecho,DER-82,DER-72
Derecho,8,Materia 8.3 de Derecho,DER-83,DER-73
Derecho,8,Materia 8.4 de Derecho,DER-84,DER-74
Derecho,8,Materia 8.5 de Derecho,DER-85,DER-75
Derecho,8,Materia 8.6 de Derecho,DER-86,DER-76
Derecho,8,Materia 8.7 de Derecho,DER-87,DER-77
Derecho,9,Materia 9.1 de Derecho,DER-91,DER-81
Derecho,9,Materia 9.2 de Derecho,DER-92,DER-82
Derecho,9,Materia 9.3 de Derecho,DER-93,DER-83
Derecho,9,Materia 9.4 de Derecho,DER-94,DER-84
